"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","below_below_below_below_kingdom","below_below_below_below_below_kingdom","phylum","below_phylum","below_below_phylum","subphylum","class","subclass","order","family","genus","species","subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","2759","33154","","","","","","","","","","","","","","","","",""
"33208","33154","kingdom","Metazoa","1","131567","2759","33154","33208","","","","","","","","","","","","","","","",""
"6072","33208","below_kingdom","Eumetazoa","1","131567","2759","33154","33208","6072","","","","","","","","","","","","","","",""
"33213","6072","below_below_kingdom","Bilateria","1","131567","2759","33154","33208","6072","33213","","","","","","","","","","","","","",""
"33317","33213","below_below_below_kingdom","Protostomia","1","131567","2759","33154","33208","6072","33213","33317","","","","","","","","","","","","",""
"1206794","33317","below_below_below_below_kingdom","Ecdysozoa","1","131567","2759","33154","33208","6072","33213","33317","1206794","","","","","","","","","","","",""
"88770","1206794","below_below_below_below_below_kingdom","Panarthropoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","","","","","","","","","",""
"6656","88770","phylum","Arthropoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","","","","","","","","","",""
"197563","6656","below_phylum","Mandibulata","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","","","","","","","","",""
"197562","197563","below_below_phylum","Pancrustacea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","","","","","","","",""
"6657","197562","subphylum","Crustacea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","","","","","","",""
"6658","6657","class","Branchiopoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","","","","","",""
"116557","6658","subclass","Phyllopoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","","","","",""
"58774","116557","order","Notostraca","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","","","",""
"63729","58774","family","Triopsidae","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","","",""
"63724","63729","genus","Lepidurus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","",""
"58776","63729","genus","Triops","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","",""
"202082","63724","species","Lepidurus apus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","202082",""
"77708","63724","species","Lepidurus arcticus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","77708",""
"63725","63724","species","Lepidurus bilobatus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","63725",""
"63726","63724","species","Lepidurus couesii","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","63726",""
"63728","63724","species","Lepidurus lemmoni","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","63728",""
"1196412","63724","species","Lepidurus sp. BV-2012","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","1196412",""
"1302736","63724","species","Lepidurus sp. MTD:TW 2042","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","1302736",""
"139457","63724","species","Lepidurus sp. REA2000","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","139457",""
"1292408","63724","species","Lepidurus sp. TCM-2013","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","1292408",""
"89892","58776","species","Triops australiensis","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","89892",""
"1292407","58776","species","Triops baeticus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","1292407",""
"194544","58776","species","Triops cancriformis","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","194544",""
"109777","58776","species","Triops granarius","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","109777",""
"58777","58776","species","Triops longicaudatus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","58777",""
"369510","58776","species","Triops mauritanicus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","369510",""
"1048741","58776","species","Triops newberryi","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","1048741",""
"370420","58776","species","Triops simplex","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","370420",""
"362254","58776","species","Triops sp. 1 JRdW-2005","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","362254",""
"362258","58776","species","Triops sp. 2 JRdW-2005","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","362258",""
"1196413","58776","species","Triops sp. BV-2012","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","1196413",""
"1302735","58776","species","Triops sp. MTD:TW 2598","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","1302735",""
"1292409","58776","species","Triops sp. TCM-2013","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","1292409",""
"217955","202082","subspecies","Lepidurus apus apus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","202082","217955"
"217954","202082","subspecies","Lepidurus apus lubbocki","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","202082","217954"
"1177194","202082","subspecies","Lepidurus apus viridis","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","63724","202082","1177194"
"369507","194544","subspecies","Triops cancriformis cancriformis","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","194544","369507"
"369513","369510","subspecies","Triops mauritanicus mauritanicus","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","369510","369513"
"369512","369510","subspecies","Triops mauritanicus simplex","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","6656","197563","197562","6657","6658","116557","58774","63729","58776","369510","369512"
