"seqname","accession","tax_id","species_name","is_type"
"AB084514.1","AB084514.1","194544","Triops cancriformis",0
"GQ144444.1","GQ144444.1","58777","Triops longicaudatus",0
"GQ144445.1","GQ144445.1","194544","Triops cancriformis",0
"GQ144447.1","GQ144447.1","63728","Lepidurus lemmoni",0
"GQ144446.1","GQ144446.1","109777","Triops granarius",0
"GQ328960.1","GQ328960.1","194544","Triops cancriformis",0
"DQ310622.1","DQ310622.1","63726","Lepidurus couesii",0
"DQ310623.1","DQ310623.1","362254","Triops sp. 1 JRdW-2005",0
"DQ310625.1","DQ310625.1","362258","Triops sp. 2 JRdW-2005",0
"DQ369312.1","DQ369312.1","369507","Triops cancriformis cancriformis",0
"DQ369313.1","DQ369313.1","369507","Triops cancriformis cancriformis",0
"DQ369314.1","DQ369314.1","369507","Triops cancriformis cancriformis",0
"DQ369316.1","DQ369316.1","369507","Triops cancriformis cancriformis",0
"DQ369317.1","DQ369317.1","370420","Triops simplex",0
"EF189678.1","EF189678.1","194544","Triops cancriformis",0
"EF675826.1","EF675826.1","194544","Triops cancriformis",0
"EF675827.1","EF675827.1","194544","Triops cancriformis",0
"EF675828.1","EF675828.1","194544","Triops cancriformis",0
"EF675830.1","EF675830.1","194544","Triops cancriformis",0
"EF675833.1","EF675833.1","194544","Triops cancriformis",0
"EF675835.1","EF675835.1","194544","Triops cancriformis",0
"EF675836.1","EF675836.1","194544","Triops cancriformis",0
"EF675839.1","EF675839.1","194544","Triops cancriformis",0
"EF675840.1","EF675840.1","194544","Triops cancriformis",0
"EF675841.1","EF675841.1","194544","Triops cancriformis",0
"EF675842.1","EF675842.1","194544","Triops cancriformis",0
"EF675843.1","EF675843.1","194544","Triops cancriformis",0
"EF675845.1","EF675845.1","194544","Triops cancriformis",0
"EF675847.1","EF675847.1","194544","Triops cancriformis",0
"EF675848.1","EF675848.1","194544","Triops cancriformis",0
"EF675849.1","EF675849.1","194544","Triops cancriformis",0
"EF675850.1","EF675850.1","194544","Triops cancriformis",0
"EF675852.1","EF675852.1","194544","Triops cancriformis",0
"EF675853.1","EF675853.1","194544","Triops cancriformis",0
"EF675854.1","EF675854.1","194544","Triops cancriformis",0
"EF675855.1","EF675855.1","194544","Triops cancriformis",0
"EF675857.1","EF675857.1","194544","Triops cancriformis",0
"EF675858.1","EF675858.1","194544","Triops cancriformis",0
"EF675859.1","EF675859.1","194544","Triops cancriformis",0
"EF675860.1","EF675860.1","194544","Triops cancriformis",0
"EF675861.1","EF675861.1","194544","Triops cancriformis",0
"EF675862.1","EF675862.1","194544","Triops cancriformis",0
"EF675864.1","EF675864.1","194544","Triops cancriformis",0
"EF675866.1","EF675866.1","194544","Triops cancriformis",0
"EF675867.1","EF675867.1","194544","Triops cancriformis",0
"EF675868.1","EF675868.1","194544","Triops cancriformis",0
"EF675869.1","EF675869.1","194544","Triops cancriformis",0
"EF675870.1","EF675870.1","194544","Triops cancriformis",0
"EF675871.1","EF675871.1","194544","Triops cancriformis",0
"EF675873.1","EF675873.1","194544","Triops cancriformis",0
"EF675874.1","EF675874.1","194544","Triops cancriformis",0
"EF675876.1","EF675876.1","194544","Triops cancriformis",0
"EF675877.1","EF675877.1","194544","Triops cancriformis",0
"EF675879.1","EF675879.1","194544","Triops cancriformis",0
"EF675882.1","EF675882.1","194544","Triops cancriformis",0
"EF675884.1","EF675884.1","194544","Triops cancriformis",0
"EF675885.1","EF675885.1","194544","Triops cancriformis",0
"EF675886.1","EF675886.1","194544","Triops cancriformis",0
"EF675887.1","EF675887.1","194544","Triops cancriformis",0
"EF675888.1","EF675888.1","194544","Triops cancriformis",0
"EF675890.1","EF675890.1","194544","Triops cancriformis",0
"EF675891.1","EF675891.1","194544","Triops cancriformis",0
"EF675892.1","EF675892.1","194544","Triops cancriformis",0
"EF675893.1","EF675893.1","194544","Triops cancriformis",0
"EF675894.1","EF675894.1","194544","Triops cancriformis",0
