	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	1.66501	1.3007	1.40311	1.20063	1.29643	1.34893	1.53679	1.62106	1.33333
alpha_rarefaction_10_1.biom	10	1	1.41215	1.64536	1.31012	1.62453	0.70804	1.34769	1.48034	1.89433	1.80269
alpha_rarefaction_10_2.biom	10	2	1.45481	1.55793	1.56758	0.98436	1.43907	1.43351	1.46553	1.948	1.74243
alpha_rarefaction_10_3.biom	10	3	1.99525	1.78854	1.31949	1.59535	0.99775	1.58639	1.67115	1.81734	1.75843
alpha_rarefaction_10_4.biom	10	4	1.67588	1.81228	1.4457	0.72961	0.74958	1.51361	1.16915	1.86882	1.98159
alpha_rarefaction_10_5.biom	10	5	1.27961	1.87014	1.1742	1.25518	0.94998	1.42788	1.42967	1.70779	1.59664
alpha_rarefaction_10_6.biom	10	6	1.51369	2.11891	1.38448	1.29539	0.67808	2.02266	1.17797	1.53846	1.52979
alpha_rarefaction_10_7.biom	10	7	1.43544	1.91306	1.44314	1.57227	1.70269	1.93849	1.31086	2.56491	2.18709
alpha_rarefaction_10_8.biom	10	8	1.63316	1.85217	1.51624	1.39694	0.68666	1.58604	1.42602	1.78952	2.03162
alpha_rarefaction_10_9.biom	10	9	1.85508	2.07531	1.10872	1.93928	1.14526	1.26565	1.37827	1.7877	1.90774
alpha_rarefaction_23_0.biom	23	0	2.86416	3.04263	2.05753	2.17604	2.13847	1.74787	2.25827	2.60058	2.72535
alpha_rarefaction_23_1.biom	23	1	2.89268	2.76334	2.44451	3.26821	1.78381	2.04222	1.7353	3.03216	2.96892
alpha_rarefaction_23_2.biom	23	2	2.13822	3.00367	2.08301	2.49876	1.38955	2.42658	2.15587	2.9036	2.91303
alpha_rarefaction_23_3.biom	23	3	2.53152	2.78297	2.31999	3.15871	2.00296	2.33818	1.81592	3.27498	3.18859
alpha_rarefaction_23_4.biom	23	4	2.98225	2.55435	2.0198	2.10984	2.186	2.21619	2.0136	2.79721	3.25728
alpha_rarefaction_23_5.biom	23	5	2.46017	2.26799	1.93552	2.35113	1.35967	2.56917	1.76438	3.2057	3.16827
alpha_rarefaction_23_6.biom	23	6	2.15629	2.96869	1.94941	2.60588	2.50265	2.94454	1.77887	3.00744	3.29352
alpha_rarefaction_23_7.biom	23	7	2.56801	2.53299	2.02701	2.36115	2.31924	2.31636	1.99575	3.26689	2.92273
alpha_rarefaction_23_8.biom	23	8	2.42385	3.38405	1.74159	2.63449	1.60547	2.09281	1.75576	3.15515	3.24479
alpha_rarefaction_23_9.biom	23	9	2.41208	2.7396	2.08112	2.1873	1.63209	2.20818	2.05336	3.22511	3.02074
alpha_rarefaction_36_0.biom	36	0	2.53836	3.7278	2.8538	3.8503	2.14664	2.47321	2.48786	3.71227	4.59855
alpha_rarefaction_36_1.biom	36	1	3.43153	3.90827	2.51746	2.78777	3.17818	3.08017	2.65373	3.43642	3.41144
alpha_rarefaction_36_2.biom	36	2	3.47533	4.07032	3.03306	3.38533	2.33348	2.86439	2.23077	3.28753	3.43907
alpha_rarefaction_36_3.biom	36	3	3.2813	3.75895	2.50908	3.48731	1.94782	2.72778	2.70621	3.33863	3.54696
alpha_rarefaction_36_4.biom	36	4	3.74132	4.00302	2.51706	2.70371	2.26284	3.04625	2.29007	3.72051	3.46668
alpha_rarefaction_36_5.biom	36	5	3.57372	3.91066	2.78313	3.11028	2.08467	2.89874	2.5416	4.11195	3.99947
alpha_rarefaction_36_6.biom	36	6	3.74583	4.03397	2.40073	2.9185	1.99023	3.23111	2.35708	3.05359	3.99926
alpha_rarefaction_36_7.biom	36	7	3.31542	3.28849	2.62132	3.42365	2.85894	2.96684	2.05353	3.58719	3.75265
alpha_rarefaction_36_8.biom	36	8	3.30411	4.33264	2.60381	2.67015	2.33366	2.6584	1.91424	2.70121	3.68005
alpha_rarefaction_36_9.biom	36	9	3.37319	3.51383	2.69004	3.49873	1.94193	2.71956	2.16095	3.48464	3.49983
alpha_rarefaction_49_0.biom	49	0	3.36839	4.2375	2.95996	3.9958	3.70494	3.09119	2.65913	4.80948	3.79948
alpha_rarefaction_49_1.biom	49	1	3.19158	4.61159	3.37225	3.18603	3.5585	3.86333	2.81723	4.01186	4.60314
alpha_rarefaction_49_2.biom	49	2	3.48476	4.70153	3.06778	4.17123	2.98187	3.51984	2.58694	4.41793	4.00427
alpha_rarefaction_49_3.biom	49	3	4.149	3.65293	3.15416	3.56618	2.97911	2.66507	2.49593	4.14817	4.30746
alpha_rarefaction_49_4.biom	49	4	3.91357	4.10578	2.60655	3.81824	3.24165	2.95538	2.50242	4.32837	5.09242
alpha_rarefaction_49_5.biom	49	5	3.5913	4.76809	3.41805	3.74992	3.34529	3.45348	2.74485	4.85645	4.16525
