	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	29.0	8.5	23.0	55.0	13.0	8.5	55.0	23.0	9.0
alpha_rarefaction_10_1.biom	10	1	22.0	13.0	23.0	55.0	16.0	12.0	13.0	29.0	23.0
alpha_rarefaction_10_2.biom	10	2	16.0	23.0	23.0	23.0	23.0	23.0	55.0	55.0	23.0
alpha_rarefaction_10_3.biom	10	3	55.0	23.0	55.0	23.0	23.0	13.0	23.0	13.0	29.0
alpha_rarefaction_10_4.biom	10	4	13.0	23.0	23.0	55.0	22.0	55.0	9.0	23.0	23.0
alpha_rarefaction_10_5.biom	10	5	12.0	55.0	23.0	55.0	12.0	23.0	23.0	23.0	13.0
alpha_rarefaction_10_6.biom	10	6	29.0	55.0	13.0	23.0	29.0	13.0	22.0	23.0	13.0
alpha_rarefaction_10_7.biom	10	7	13.0	55.0	29.0	55.0	55.0	29.0	8.5	55.0	55.0
alpha_rarefaction_10_8.biom	10	8	12.0	23.0	23.0	55.0	5.5	29.0	29.0	55.0	13.0
alpha_rarefaction_10_9.biom	10	9	12.0	55.0	23.0	55.0	13.0	13.0	29.0	55.0	23.0
alpha_rarefaction_23_0.biom	23	0	55.0	54.0	127.0	53.0	59.0	25.0	53.0	43.0	40.75
alpha_rarefaction_23_1.biom	23	1	107.0	54.0	127.0	127.0	93.0	29.0	36.5	59.0	53.0
alpha_rarefaction_23_2.biom	23	2	30.0	155.0	40.0	54.0	31.0	17.0	70.5	36.5	43.0
alpha_rarefaction_23_3.biom	23	3	19.0	78.0	78.0	40.0	48.0	29.75	49.0	59.0	36.5
alpha_rarefaction_23_4.biom	23	4	61.5	59.0	40.75	78.0	41.5	33.3333333333	36.5	138.0	36.5
alpha_rarefaction_23_5.biom	23	5	79.0	47.3333333333	96.5	78.0	25.0	29.0	49.0	96.5	53.0
alpha_rarefaction_23_6.biom	23	6	57.0	59.0	59.0	127.0	94.0	38.0	38.0	42.0	42.0
alpha_rarefaction_23_7.biom	23	7	25.0	211.0	43.0	59.0	22.3333333333	38.0	53.0	127.0	28.0
alpha_rarefaction_23_8.biom	23	8	29.0	70.5	78.0	70.5	25.0	42.5	29.75	87.0	172.0
alpha_rarefaction_23_9.biom	23	9	58.0	40.75	59.0	96.5	93.0	26.0	40.0	36.5	138.0
alpha_rarefaction_36_0.biom	36	0	43.0	104.0	118.75	191.5	81.0	29.0	73.5	147.0	104.0
alpha_rarefaction_36_1.biom	36	1	55.0	118.75	57.0	71.1666666667	60.0	110.0	47.6666666667	59.2	67.75
alpha_rarefaction_36_2.biom	36	2	34.6	141.75	138.333333333	111.25	55.0	42.75	28.1666666667	51.2	62.0
alpha_rarefaction_36_3.biom	36	3	61.25	64.0	73.5	90.0	49.3333333333	46.0	91.25	47.8571428571	50.2
alpha_rarefaction_36_4.biom	36	4	141.5	141.75	79.5	111.25	81.0	37.1666666667	42.0	71.1666666667	56.0
alpha_rarefaction_36_5.biom	36	5	50.3333333333	118.75	85.1666666667	85.1666666667	41.0	40.0	60.2	112.333333333	84.75
alpha_rarefaction_36_6.biom	36	6	66.5	138.333333333	98.0	71.1666666667	40.0	55.6	50.2	73.5	103.0
alpha_rarefaction_36_7.biom	36	7	67.3333333333	111.25	81.0	98.0	214.0	61.0	31.0	44.0	64.0
alpha_rarefaction_36_8.biom	36	8	66.3333333333	167.333333333	67.75	60.2	140.0	32.75	36.1666666667	36.0	67.3333333333
alpha_rarefaction_36_9.biom	36	9	84.75	58.0	84.75	58.0	72.5	25.5	43.0	66.75	57.0
alpha_rarefaction_49_0.biom	49	0	53.0	99.0	208.5	302.0	180.0	45.0	57.5	121.75	66.0
alpha_rarefaction_49_1.biom	49	1	73.5	203.333333333	99.0	162.0	76.2	81.5	80.6	161.0	54.75
alpha_rarefaction_49_2.biom	49	2	96.0	175.2	87.2	140.166666667	76.0	110.5	113.333333333	153.25	31.0
alpha_rarefaction_49_3.biom	49	3	120.0	72.1	113.25	99.0	121.0	34.2	105.0	56.1428571429	107.0
alpha_rarefaction_49_4.biom	49	4	129.0	87.3333333333	86.2	117.2	281.0	70.3333333333	65.25	110.6	150.0
alpha_rarefaction_49_5.biom	49	5	72.5	183.6	113.25	110.6	107.0	33.0	113.333333333	117.2	69.75
alpha_rarefaction_49_6.biom	49	6	112.333333333	162.0	180.0	181.0	128.5	35.2	53.4285714286	120.75	59.0
alpha_rarefaction_49_7.biom	49	7	120.0	237.333333333	87.75	102.0	99.5	45.75	52.4285714286	122.75	60.6666666667
alpha_rarefaction_49_8.biom	49	8	43.1428571429	97.125	159.0	93.5	121.0	48.6666666667	69.75	114.25	56.5
alpha_rarefaction_49_9.biom	49	9	120.75	154.25	143.6	81.4285714286	68.3333333333	216.0	131.0	76.8571428571	57.5
alpha_rarefaction_62_0.biom	62	0	61.0	221.2	143.166666667	178.2	56.5	44.2	82.6	102.142857143	163.0
alpha_rarefaction_62_1.biom	62	1	90.0	213.0	92.0	119.375	140.333333333	63.0	78.8571428571	181.25	80.2
alpha_rarefaction_62_2.biom	62	2	68.5	253.0	98.0	130.0	180.25	51.6666666667	94.0	156.0	119.2
alpha_rarefaction_62_3.biom	62	3	88.1666666667	136.0	100.125	211.5	133.0	39.0	54.5	130.0	113.6
alpha_rarefaction_62_4.biom	62	4	64.0	133.0	130.0	144.166666667	182.0	70.75	91.1666666667	118.5	94.0
alpha_rarefaction_62_5.biom	62	5	150.0	118.5	119.375	133.0	98.0	77.5	66.0	117.428571429	70.3333333333
alpha_rarefaction_62_6.biom	62	6	251.5	249.0	107.428571429	135.0	93.0	42.5	48.0	107.2	83.4285714286
alpha_rarefaction_62_7.biom	62	7	64.625	132.0	155.2	106.666666667	86.75	42.0	66.625	107.428571429	72.5
alpha_rarefaction_62_8.biom	62	8	73.1666666667	136.5	135.5	201.5	69.5	47.0	78.8571428571	142.166666667	95.0
alpha_rarefaction_62_9.biom	62	9	250.0	264.25	240.333333333	162.0	383.0	89.75	122.75	132.5	64.2727272727
alpha_rarefaction_75_0.biom	75	0	120.2	110.333333333	222.75	117.125	164.0	153.0	170.0	153.0	119.5
alpha_rarefaction_75_1.biom	75	1	86.25	138.875	126.142857143	139.5	106.666666667	63.875	82.0	158.2	100.8
alpha_rarefaction_75_2.biom	75	2	204.333333333	149.666666667	149.428571429	114.0	130.5	60.6	81.0	121.375	109.2
alpha_rarefaction_75_3.biom	75	3	102.142857143	175.0	114.857142857	115.111111111	204.333333333	51.125	241.333333333	92.3333333333	164.0
alpha_rarefaction_75_4.biom	75	4	117.5	166.0	216.0	196.5	83.6	69.0	163.0	127.75	88.25
alpha_rarefaction_75_5.biom	75	5	145.6	141.1	149.6	125.0	106.2	67.0	120.2	132.0	68.2727272727
