	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	8.0	7.0	9.0	10.0	8.0	7.0	10.0	9.0	6.0
alpha_rarefaction_10_1.biom	10	1	7.0	8.0	9.0	10.0	6.0	7.0	8.0	8.0	9.0
alpha_rarefaction_10_2.biom	10	2	6.0	9.0	9.0	9.0	9.0	9.0	10.0	10.0	9.0
alpha_rarefaction_10_3.biom	10	3	10.0	9.0	10.0	9.0	9.0	8.0	9.0	8.0	8.0
alpha_rarefaction_10_4.biom	10	4	8.0	9.0	9.0	10.0	7.0	10.0	6.0	9.0	9.0
alpha_rarefaction_10_5.biom	10	5	7.0	10.0	9.0	10.0	7.0	9.0	9.0	9.0	8.0
alpha_rarefaction_10_6.biom	10	6	8.0	10.0	8.0	9.0	8.0	8.0	7.0	9.0	8.0
alpha_rarefaction_10_7.biom	10	7	8.0	10.0	8.0	10.0	10.0	8.0	7.0	10.0	10.0
alpha_rarefaction_10_8.biom	10	8	7.0	9.0	9.0	10.0	5.0	8.0	8.0	10.0	8.0
alpha_rarefaction_10_9.biom	10	9	7.0	10.0	9.0	10.0	8.0	8.0	8.0	10.0	9.0
alpha_rarefaction_23_0.biom	23	0	16.0	20.0	22.0	18.0	19.0	13.0	18.0	17.0	18.0
alpha_rarefaction_23_1.biom	23	1	16.0	20.0	22.0	22.0	15.0	14.0	14.0	19.0	18.0
alpha_rarefaction_23_2.biom	23	2	12.0	19.0	19.0	20.0	13.0	12.0	18.0	17.0	17.0
alpha_rarefaction_23_3.biom	23	3	12.0	21.0	21.0	19.0	15.0	16.0	16.0	19.0	17.0
alpha_rarefaction_23_4.biom	23	4	16.0	19.0	18.0	18.0	14.0	15.0	17.0	18.0	17.0
alpha_rarefaction_23_5.biom	23	5	13.0	17.0	20.0	21.0	13.0	14.0	16.0	20.0	18.0
alpha_rarefaction_23_6.biom	23	6	12.0	19.0	19.0	22.0	16.0	16.0	16.0	16.0	16.0
alpha_rarefaction_23_7.biom	23	7	13.0	21.0	17.0	19.0	13.0	16.0	18.0	22.0	13.0
alpha_rarefaction_23_8.biom	23	8	14.0	18.0	21.0	18.0	10.0	15.0	16.0	19.0	19.0
alpha_rarefaction_23_9.biom	23	9	13.0	18.0	19.0	20.0	15.0	14.0	19.0	17.0	18.0
alpha_rarefaction_36_0.biom	36	0	17.0	27.0	31.0	29.0	21.0	17.0	26.0	30.0	27.0
alpha_rarefaction_36_1.biom	36	1	20.0	31.0	23.0	29.0	20.0	19.0	25.0	25.0	25.0
alpha_rarefaction_36_2.biom	36	2	19.0	33.0	30.0	30.0	20.0	20.0	19.0	24.0	22.0
alpha_rarefaction_36_3.biom	36	3	23.0	26.0	26.0	30.0	19.0	20.0	28.0	26.0	23.0
alpha_rarefaction_36_4.biom	36	4	26.0	33.0	27.0	30.0	21.0	22.0	21.0	29.0	21.0
alpha_rarefaction_36_5.biom	36	5	20.0	31.0	31.0	31.0	19.0	18.0	26.0	28.0	27.0
alpha_rarefaction_36_6.biom	36	6	28.0	30.0	29.0	29.0	18.0	25.0	23.0	26.0	26.0
alpha_rarefaction_36_7.biom	36	7	22.0	30.0	24.0	29.0	24.0	21.0	20.0	24.0	26.0
alpha_rarefaction_36_8.biom	36	8	21.0	32.0	25.0	26.0	20.0	19.0	21.0	23.0	22.0
