	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	2.84643934467	2.72192809489	3.12192809489	3.32192809489	2.92192809489	2.72192809489	3.32192809489	3.12192809489	2.32192809489
alpha_rarefaction_10_1.biom	10	1	2.52192809489	2.92192809489	3.12192809489	3.32192809489	2.16096404744	2.64643934467	2.92192809489	2.84643934467	3.12192809489
alpha_rarefaction_10_2.biom	10	2	2.16096404744	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489
alpha_rarefaction_10_3.biom	10	3	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	2.92192809489	3.12192809489	2.92192809489	2.84643934467
alpha_rarefaction_10_4.biom	10	4	2.92192809489	3.12192809489	3.12192809489	3.32192809489	2.52192809489	3.32192809489	2.32192809489	3.12192809489	3.12192809489
alpha_rarefaction_10_5.biom	10	5	2.64643934467	3.32192809489	3.12192809489	3.32192809489	2.64643934467	3.12192809489	3.12192809489	3.12192809489	2.92192809489
alpha_rarefaction_10_6.biom	10	6	2.84643934467	3.32192809489	2.92192809489	3.12192809489	2.84643934467	2.92192809489	2.52192809489	3.12192809489	2.92192809489
alpha_rarefaction_10_7.biom	10	7	2.92192809489	3.32192809489	2.84643934467	3.32192809489	3.32192809489	2.84643934467	2.72192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_8.biom	10	8	2.64643934467	3.12192809489	3.12192809489	3.32192809489	2.17095059445	2.84643934467	2.84643934467	3.32192809489	2.92192809489
alpha_rarefaction_10_9.biom	10	9	2.64643934467	3.32192809489	3.12192809489	3.32192809489	2.92192809489	2.92192809489	2.84643934467	3.32192809489	3.12192809489
alpha_rarefaction_23_0.biom	23	0	3.7409532604	4.26269239084	4.43660543432	4.00182282562	4.14291467335	3.32748478196	4.00182282562	3.93618043413	4.05595815162
alpha_rarefaction_23_1.biom	23	1	3.64248967317	4.26269239084	4.43660543432	4.43660543432	3.50139782543	3.49705584847	3.51836997872	4.14291467335	4.00182282562
alpha_rarefaction_23_2.biom	23	2	2.98946575975	4.11009347761	4.1757358691	4.26269239084	3.37727813099	3.38162010795	4.02313695587	3.91486630388	3.93618043413
